address,area,price
嘉盛豪园-瑞景,思明,1200
家家海景-前埔北区,思明,5000
瑞丽花园-瑞景,思明,7000
瑞景商业广场-瑞景,思明,2800
厦航别墅-莲前,思明,8000
瑞景公园-瑞景,思明,8500
嘉盛豪园-瑞景,思明,6600
罗宾森二期-火车站,思明,6200
育青路育青路22号301室-育青路,思明,3800
罗宾森璀璨新城1期-火车站,思明,4200
侨旺大厦-松柏,思明,6000
武汉大厦-莲花一村,思明,4500
华天花园-嘉禾路,思明,4800
永升华庭-松柏,思明,6900
莲坂小区-湖滨北路,思明,3300
金磊花园-金鸡亭,思明,4300
金林花园-金鸡亭,思明,2900
怡富花园-莲前西路,思明,4200
怡富花园-莲前,思明,3800
香山海景苑-软件园,思明,9500
碧海晴空-软件园,思明,11000
香山碧海晴空-软件园,思明,11500
岭兜小区-软件园,思明,3600
香山海景苑-软件园,思明,2900
电业花园-莲岳路,思明,3300
锦绣广场-松柏,思明,1800
江头长青K小区-松柏,思明,2500
宝龙中心二期-嘉禾路,思明,4200
嘉盛豪园-瑞景,思明,4200
鸿运大厦-禾祥东路,思明,4600
龙景台-禾祥东路,思明,5200
金榜家园-金榜路,思明,4700
厦航洪文小区-瑞景,思明,5350
雍景湾-白城,思明,60000
瑞丽花园-瑞景,思明,7500
瑞景公园-瑞景,思明,6000
福满山庄-瑞景,思明,15000
汇腾大厦-松柏,思明,16000
嘉华大厦-长青路,思明,2100
莲坂小区-槟榔东里,思明,1800
嘉华里-松柏,思明,3200
宝龙中心二期-莲花一村,思明,6000
源昌君悦山-莲前,思明,8700
水晶国际-观音山,思明,2300
罗宾森璀璨新城1期-火车站,思明,3500
文图花园-文园路,思明,3500
枫丹雅苑-金榜路,思明,3000
东芳山庄小区-瑞景,思明,1000
东芳山庄小区-莲前东路,思明,1000
英皇湖畔花苑-松柏,思明,4800
国贸怡河园-松柏,思明,6500
侨旺大厦-嘉禾路,思明,4900
宝龙中心-莲花一村,思明,4600
岭兜一里-软件园,思明,2700
岭兜佳园-软件园,思明,2700
莲坂新村-富山,思明,2800
莲坂新村-富山,思明,3600
华天花园-嘉禾路,思明,3600
岭兜小区-前埔北区,思明,3600
岭兜小区-软件园,思明,3700
假日香港广场-思明北路,思明,3800
香港广场-厦禾路,思明,7500
香港广场-思明北路,思明,1300
香山海景苑-软件园,思明,2250
禹洲碧山临海-厦大,思明,4500
新景花园-软件园,思明,4000
岭兜二里-软件园,思明,3400
新景花园-软件园,思明,2800
岭兜佳园-软件园,思明,1700
莲坂西小区-长青路,思明,3000
东方明珠-嘉禾路,思明,4500
东方明珠广场-嘉禾路,思明,4700
宝龙中心-嘉禾路,思明,4600
信和上筑-松柏,思明,4900
卧龙晓城-莲前,思明,2600
文兴社-瑞景,思明,4000
瑞丽花园-瑞景,思明,5300
洪山柄南区-瑞景,思明,4800
厦航洪文小区-瑞景,思明,5400
香山海景苑-软件园,思明,3300
龙山山庄-莲前西路,思明,3800
金鸡亭-金鸡亭,思明,3500
舒心阳光公寓-软件园,思明,1500
舒心阳光公寓-瑞景,思明,1400
舒心阳光公寓-会展路,思明,1550
舒心阳光-瑞景,思明,1950
中山晶品公寓-鹭江道,思明,1200
育秀里-松柏,思明,4000
中关委大厦-Null,思明,5500
中关委大厦-嘉禾路,思明,1800
天宝大厦-松柏,思明,1800
店上东里-前埔南区,思明,3300
艺盛花园-Null,思明,4500
屿后北里-Null,思明,2400
宝达大厦-Null,思明,4600
港龙新城-Null,思明,850
邦妮大厦-Null,思明,3500
松柏华庭-Null,思明,4200
武汉大厦-Null,思明,7000
汇腾大厦-松柏,思明,17500
永升松柏中心-松柏,思明,4000
天宝大厦-松柏,思明,2600
潇湘大厦-嘉禾路,思明,3500
中关委大厦-嘉禾路,思明,2300
中关委大厦-嘉禾路,思明,5500
宝龙中心-长青路,思明,3800
岭兜佳园-软件园,思明,2900
岭兜二里-软件园,思明,3200
世贸国际-火车站,思明,3500
前埔南区古楼北里-前埔南区,思明,3200
瑞景新村鸣凤苑-莲前东路,思明,4800
瑞景生活广场-瑞景,思明,4800
瑞景新村-瑞景,思明,3600
瑞丽花园-瑞景,思明,8500
侨福城-瑞景,思明,3500
华林绿洲花园-前埔南区,思明,3200
汇腾大厦-Null,思明,5000
水岸筼筜-Null,思明,1500
育秀中心-Null,思明,8000
东方明珠广场-Null,思明,5600
四川大厦-Null,思明,3600
英皇湖畔花苑-Null,思明,7500
摩登时代-Null,思明,2500
天宝大厦-松柏,思明,1600
中关委大厦-火车站,思明,1000
松柏华庭-松柏,思明,5300
东方明珠广场-松柏,思明,6300
颐景园-火车站,思明,3900
新港龙花园-Null,思明,1800
宝嘉誉峰-Null,思明,1600
华岳山庄-Null,思明,7200
港龙新城-Null,思明,2000
天宝大厦-嘉禾路,思明,1300
天宝大厦-Null,思明,1650
天宝大厦-松柏,思明,1300
中关委大厦-松柏,思明,950
中关委大厦-松柏,思明,2100
音乐家生活广场-松柏,思明,1900
松柏大厦-松柏,思明,5300
天宝大厦-松柏,思明,4000
华岳山庄-松柏,思明,6000
四川大厦-松柏,思明,3300
屿后南里-松柏,思明,2600
天宝大厦-松柏,思明,1500
天宝大厦-松柏,思明,2400
文兴东二里-前埔南区,思明,3500
软件园二期-软件园,思明,2500
卧龙晓城-莲前西路,思明,2600
新景花园-软件园,思明,3300
嘉盛豪园-瑞景,思明,4300
金峰山庄-文灶,思明,13500
文兴东三里-前埔南区,思明,4200
岭兜佳园小区-软件园,思明,2200
岭兜佳园小区-软件园,思明,3500
锦绣广场-松柏,思明,6500
自然家园-火车站,思明,5500
宝龙中心一期-嘉禾路,思明,4800
侨旺大厦-嘉禾路,思明,4900
瑞丽花园-瑞景,思明,8500
米兰春天-湖滨北路,思明,3700
瑞景侨福城一期-莲前东路,思明,3500
