addr,area,price
长沙市天心区天心芙蓉中路三段418号(芙蓉中路神龙大酒店对面),天心区,4800
长沙赤岭路348号金碧文华,天心区,2500
天心区芙蓉南路2段368号,天心区,2500
天心区新柠路2号（芙蓉路天虹百货旁）,天心区,2200
湖南省长沙市天心区南湖路51号,天心区,3200
天心区刘家冲北路238号满庭芳家园,天心区,3000
长沙市天心区湘府西路299号,天心区,2200
天心区书院路9号（南湖路和湘江路交汇处东北角）,天心区,6000
湖南省长沙市天心区新姚南路200,天心区,1300
天心区新韶西路288,天心区,2200
芙蓉南路二段229号(芙蓉南路与披塘路交汇处东南角),天心区,3200
芙蓉南路与木莲冲路交汇处东北角长大彩虹都,天心区,2000
天心芙蓉南路与湘府路交汇处的东南白沙世纪佳园,天心区,2600
芙蓉中路380号（神农大酒店对面）,天心区,3000
长沙市天心区芙蓉南路一段758号,天心区,2200
湖南省长沙市天心区木莲西路168号,天心区,1500
天心区书院路9号（南湖路和湘江路交汇处东北角）,天心区,3200
长沙市天心区新开铺路700号,天心区,2000
长沙市天心区新韶东路498号鑫远湘府华城,天心区,3300
天心赤岭路45号,天心区,1500
先锋小学背后,天心区,1200
天心区新韶西路288,天心区,2100
芙蓉中路380号（神农大酒店对面）,天心区,3300
芙蓉中路三段600号,天心区,2900
天心湘府中路119号（紧邻省政府、天心区政府）标志长沙商务中心,天心区,1400
长沙金盆路87号,天心区,1500
天心区赤岭路长沙理工大学对面白沙花园,天心区,1600
天心区新姚北路399号（芙蓉南路铁道学院西门斜对面）博林金谷,天心区,2850
芙蓉南路1段418号,天心区,2700
天心区刘家冲北路238号满庭芳家园,天心区,3200
天心区木莲西路169号(井湾子大润发超市往西100米),天心区,2500
天心区人民西路与湘江中路交汇处,天心区,10000
芙蓉南路与木莲冲路交汇处东北角长大彩虹都,天心区,2200
长沙市天心区芙蓉南路二段9号,天心区,3000
长沙市黄土岭路188号,天心区,2200
天心区刘家冲北路238号,天心区,5200
湖南省长沙市天心区大托镇中意二路111号,天心区,1600
湖南省长沙市天心区杉木冲路236号,天心区,1500
友谊路268号万芙锦城,天心区,2600
天心区新韶西路288,天心区,800
芙蓉中路三段600号,天心区,5000
天心区大托镇先锋村新谷路368号,天心区,2000
湖南省长沙市天心区湘府路与五凌路交汇处湘府9号,天心区,3300
中意二路西中信文化广场（中信新城二期）,天心区,1800
黄土岭路2号都市春天,天心区,2400
湖南省长沙市天心区雀园路468号,天心区,1200
天心区大托镇先锋村新谷路368号,天心区,2400
天心芙蓉南路1号(芙蓉南路与二环线交汇处),天心区,4500
芙蓉南路二段229号(芙蓉南路与披塘路交汇处东南角),天心区,700
天心区友谊路560号长城雅苑,天心区,2000
长沙市天心区新姚南路168号,天心区,11000
天心区大托镇先锋村新谷路368号,天心区,2200
黄土岭路2号都市春天,天心区,2500
湖南省长沙市天心区大托镇中意二路111号,天心区,24000
天心区新姚北路399号（芙蓉南路铁道学院西门斜对面）博林金谷,天心区,5000
长沙市天心区芙蓉南路一段758号,天心区,2100
天心区友谊路青园宾馆(大蓉和)对面,天心区,1400
湖南省长沙市天心区湘府路与五凌路交汇处湘府9号,天心区,2800
长沙市天心区环保西路与芙蓉南路交汇处,天心区,2300
芙蓉南路1段418号,天心区,3000
天心石人村木莲冲路110号童话里,天心区,2200
长沙市天心区芙蓉南路一段758号,天心区,2600
天心区新姚北路399号（芙蓉南路铁道学院西门斜对面）博林金谷,天心区,3400
湖南省长沙市天心区木莲西路168号,天心区,2800
芙蓉南路二段88,天心区,2500
天心湘府中路119号（紧邻省政府、天心区政府）标志长沙商务中心,天心区,1900
天心五凌路168号,天心区,4000
